ম্ব  প্রতিবিম্ব অম্বর
ম্ব্র  মেম্ব্রেন 
ম্ভ  দম্ভ
ম্ভ্র  সম্ভ্রম
ম্ম  সম্মান
ম্য  গ্রাম্য
ম্র  নম্র
ম্ল  অম্ল
য্য  ন্যায্য
র্ক তর্ক
র্ক্য  অতর্ক্য 
র্গ  বর্গ
র্গ্য বর্গ্য 
র্ঘ্য  দৈর্ঘ্য
র্ঙ্গ  শার্ঙ্গ 
র্চ্য  অর্চ্য 
র্জ্য  বর্জ্য
র্জ্জ  ঊর্জ্জ
র্জ্ঞ  দুর্জ্ঞেয়
র্ণ্য  বৈবর্ণ্য 
র্ত্য  মর্ত্য
র্থ্য  সামর্থ্য
র্ব্য  নৈর্ব্যক্তিক
র্ম্য  নৈষ্কর্ম্য
র্শ্য  অস্পর্শ্য
র্ষ্য  ঔৎকর্ষ্য
র্হ্য  গর্হ্য
র্খ  মূর্খ
র্গ  দুর্গ
র্গ্র  দুর্গ্রহ নির্গ্রন্হ
র্ঘ  দীর্ঘ
র্চ  অর্চনা
র্ছ  মূর্ছনা
র্জ  অর্জন
র্ঝ  নির্ঝর
র্ট  আর্ট কোর্ট কম্ফর্টার শার্ট কার্টিজ আর্টিস্ট পোর্টম্যানটো সার্টিফিকেট কনসার্ট কার্টুন কোয়ার্টার 
র্ড  অর্ডার লর্ড বর্ডার কার্ড 
র্ণ  বর্ণ
র্ত  ক্ষুধার্ত
র্ত্ম  ক্লিন্নবর্ত্মাস্থি 
র্ত্র  কর্ত্রী
র্থ  অর্থ
র্দ  নির্দয়
র্দ্ব  নির্দ্বিধা
র্দ্র  আর্দ্র
র্ধ  গোলার্ধ
র্ধ্ব  ঊর্ধ্ব
র্ন  দুর্নাম
র্প  দর্প
র্ফ  স্কার্ফ 
র্ব  উর্বর
র্ভ  গর্ভ
র্ম  ধর্ম
র্য  আর্য 
র্ল  দুর্লভ
র্শ  স্পর্শ
র্শ্ব  পার্শ্ব
র্ষ  ঘর্ষণ ধর্ষণ
র্ষ্ট  ধার্ষ্টামি 
র্ষ্ণ  পার্ষ্ণিকাস্থি
র্ষ্ণ্য  কার্ষ্ণ্য 
র্স  জার্সি নার্স পার্সেল কুর্সি 
র্হ  গার্হস্থ্য
র্হ্য  গর্হ্য
র্ঢ্য  দার্ঢ্য 
ল্ক  শুল্ক
ল্ক্য  যাজ্ঞবল্ক্য
ল্গ  বল্গা
ল্ট  উল্টো
ল্ড  ফিল্ডিং 
